CUI,Phrase,Type
C0000731,Abdomen distended,PT
C0000731,Distended abdomen,SY
C0000731,distended abdomen,SY
C0000731,abdomen distended,SY
C0000731,Abdominal distention,SY
C0000731,ABDOMINAL DISTENTION,SY
C0000731,Abdominal Distention,SY
C0000731,abdominal distention,SY
C0000731,ABDOMINAL DISTENSION,SY
C0000731,Abdominal distension,SY
C0000731,abdominal distension,SY
C0000731,Bloating,SY
C0000731,Swollen abdomen,SY
C0000731,SWOLLEN ABDOMEN,SY
C0000731,swollen abdomen,SY
C0000731,SWELLING ABDOMEN,SY
C0000731,swelling of abdomen,SY
C0000731,Swelling of abdomen,SY
C0000731,Swelling abdomen,SY
C0000731,ABDOMEN SWELLING,SY
C0000731,Swollen;abdomen,SY
C0000731,abdomen; swelling,SY
C0000731,swelling; abdomen,SY
C0000731,Abdominal bloating,SY
C0000731,Abdominal Bloating,SY
C0000731,Abdominal swelling,SY
C0000731,abdominal swelling,SY
C0000731,NOS,SY
C0000731,abdominal swellings,SY
C0000731,[D]Abdominal swelling,SY
C0000731,Change in abd size/distension,SY
C0000731,Change in abdominal size/distension,SY
C0000731,Swelling abd,SY
C0000731,Distension;abdomen,SY
C0000731,ABDOMEN DISTENSION,SY
C0000731,ABDOMEN DISTENTION,SY
C0000731,Abdomen Distention,SY
C0000731,Belly bloating,SY
C0000731,Swollen abdomen (finding),SY
C0000731,[D]Abdominal swelling (context-dependent category),SY
C0000731,Abdominal swelling (disorder),SY
C0000731,Abdominal distension (finding),SY
C0000731,swelling; intra-abdominal,SY
C0000731,intra-abdominal; swelling,SY
C0000731,[D]Abdominal swelling (situation),SY
C0000731,abdominal swelling (symptom),SY
C0000731,abdominal distention (physical finding),SY
C0000737,Abdominal Pain,PT
C0000737,PAIN ABDOMINAL,SY
C0000737,Pain abdominal,SY
C0000737,Pain;abdominal,SY
C0000737,pain; abdominal,SY
C0000737,ABDOMINAL PAIN,SY
C0000737,Abdominal pain,SY
C0000737,abdominal pain,SY
C0000737,abdominal; pain,SY
C0000737,Abdominal Pains,SY
C0000737,ABDOMINAL PAIN NOS,SY
C0000737,Pains,SY
C0000737,Abdominal,SY
C0000737,Abdominal pain NOS,SY
C0000737,abdominal pains,SY
C0000737,Pain,SY
C0000737,Stomach pain,SY
C0000737,Pain in stomach,SY
C0000737,unspecified site,SY
C0000737,[D]Abdominal pain,SY
C0000737,[D]Abdominal pain NOS,SY
C0000737,AP - Abdominal pain,SY
C0000737,Abd. pain,SY
C0000737,Abdo pain,SY
C0000737,Pain abdo,SY
C0000737,Gut pain,SY
C0000737,gut pain,SY
C0000737,abdomen pain,SY
C0000737,ABDOMEN PAIN,SY
C0000737,[D]Abdominal pain NOS (context-dependent category),SY
C0000737,[D]Abdominal pain (context-dependent category),SY
C0000737,Abdominal pain (finding),SY
C0000737,abdominalgia,SY
C0000737,[D]Abdominal pain (situation),SY
C0000737,[D]Abdominal pain NOS (situation),SY
C0000737,Abdmnal pain unspcf site,SY
C0000737,abdominal pain (symptom),SY
C0000737,Bellyache,SY
C0000737,Unspecified abdominal pain,SY
C0001311,Acute bronchiolitis,PT
C0001311,Bronchiolitis (acute),SY
C0001311,bronchiolitis acute,SY
C0001311,Bronchiolitis;acute,SY
C0001311,bronchiolitis; acute,SY
C0001311,Acute Bronchiolitis,SY
C0001311,acute bronchiolitis,SY
C0001311,acute; bronchiolitis,SY
C0001311,Acute bronchiolitis NOS,SY
C0001311,Capillary pneumonia,SY
C0001311,Acute capillary bronchiolitis,SY
